"Inter_ID","fitted_a","scale_adjust_factor","scaled_a","fitted_h","fitted_w","FoRAGE_ID","Dim","Num_Pred","Pred_or_Para","Habitat","Pred_Vert_Invert","Pred_group_1","Pred_mass","Pred_mass_ID","Prey_Vert_Invert","Prey_group_1","Prey_mass","Prey_mass_ID","2D_Arena_size","3D_Arena_size","2.5D_Arena_size","Arena_size_general"
1,1.38027400924632,223.976521436597,309.148971220337,0.104817918323665,163.086575769725,1700,2.5,1,"Parasitoid","Terrestrial","Invertebrate","Insect",0.125,NA,"Invertebrate","Insect",0.625,1,NA,157,67.5952808785752,67.5952808785752
2,0.526357462261289,2093.81128353456,1102.0931936553,0.0093417609444515,446.838769653518,140,2,1,"Predator","Aquatic","Invertebrate","Insect",3.65,2,"Invertebrate","Insect",0.12,1,322,NA,NA,322
3,0.276301107016419,160,44.2081771226271,0.0353534194558374,11.4206173250566,3204,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.234,3,"Invertebrate","Insect",0.207,14,NA,20,NA,20
4,0.181521929205626,106.8,19.3865420391609,0.121725440968894,105.415571818994,2355,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,40,NA,40
5,0.166001767582335,213.6,35.4579775555867,0.15531201545319,97.0963608793826,2356,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,80,NA,80
6,0.209570275737764,1900.23752969121,398.233303064635,0.0045810551109367,1004.35857232189,3187,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.02,10,NA,950,NA,950
7,0.246595992128653,1904.7619047619,469.706651673624,0.00508646668511163,1044.02686039077,3188,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.12,11,NA,950,NA,950
8,0.218286075961507,1904.7619047619,415.783001831441,0.00694053949093301,785.706649503799,3189,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",1.4,12,NA,950,NA,950
9,0.152085062625144,1904.7619047619,289.685833571703,0.0157980573834148,955.213036381071,3190,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",4.8,13,NA,950,NA,950
10,1.76399847641926,11.9262688158819,21.0379200205823,0.0361197822384853,22.8705853455232,2235,2,5,"Predator","Terrestrial","Invertebrate","Insect",3.6,NA,"Invertebrate","Insect",0.138,1,28.3,NA,NA,28.3
11,3.08489499593647,13.0528478596877,40.2666650450708,0.0877130720481987,63.2956203094253,2237,2,5,"Predator","Terrestrial","Invertebrate","Arachnid",0.235,NA,"Invertebrate","Insect",0.138,1,28.3,NA,NA,28.3
12,0.340199387043668,6484.63077595817,2206.06741518547,0.0293831548548574,3315.36717596099,1675,2,1,"Predator","Aquatic","Invertebrate","Crustacean",82400,1,"Invertebrate","Mollusk",2.39,3,3000,NA,NA,3000
