Experiment,Density,Treatment,Temp,replicate,live,eaten
1,10,No,26,R1,2,8
1,20,No,26,R1,9,11
1,30,No,26,R1,8,22
1,40,No,26,R1,18,22
1,10,No,26,R2,1,9
1,20,No,26,R2,3,17
1,30,No,26,R2,6,24
1,40,No,26,R2,18,22
1,10,No,26,R3,3,7
1,20,No,26,R3,5,15
1,30,No,26,R3,9,21
1,40,No,26,R3,24,16
1,10,No,26,R4,1,9
1,20,No,26,R4,4,16
1,30,No,26,R4,5,25
1,40,No,26,R4,15,25
1,10,No,26,R5,1,9
1,20,No,26,R5,4,16
1,30,No,26,R5,17,13
1,40,No,26,R5,18,22
2,10,Yes,26,R1,1,9
2,20,Yes,26,R1,6,14
2,30,Yes,26,R1,16,14
2,40,Yes,26,R1,18,22
2,10,Yes,26,R2,1,9
2,20,Yes,26,R2,5,15
2,30,Yes,26,R2,13,17
2,40,Yes,26,R2,22,18
2,10,Yes,26,R3,4,6
2,20,Yes,26,R3,7,13
2,30,Yes,26,R3,7,23
2,40,Yes,26,R3,13,27
2,10,Yes,26,R4,1,9
2,20,Yes,26,R4,5,15
2,30,Yes,26,R4,7,23
2,40,Yes,26,R4,12,28
2,10,Yes,26,R5,1,9
2,20,Yes,26,R5,4,16
2,30,Yes,26,R5,13,17
2,40,Yes,26,R5,20,20
3,10,No,20,R1,5,5
3,20,No,20,R1,5,15
3,30,No,20,R1,10,20
3,40,No,20,R1,19,21
3,10,No,20,R2,3,7
3,20,No,20,R2,16,4
3,30,No,20,R2,8,22
3,40,No,20,R2,16,24
3,10,No,20,R3,1,9
3,20,No,20,R3,8,12
3,30,No,20,R3,11,19
3,40,No,20,R3,17,23
3,10,No,20,R4,4,6
3,20,No,20,R4,3,17
3,30,No,20,R4,8,22
3,40,No,20,R4,22,18
3,10,No,20,R5,4,6
3,20,No,20,R5,6,14
3,30,No,20,R5,11,19
3,40,No,20,R5,14,26
4,10,Yes,20,R1,3,7
4,20,Yes,20,R1,11,9
4,30,Yes,20,R1,12,18
4,40,Yes,20,R1,22,18
4,10,Yes,20,R2,5,5
4,20,Yes,20,R2,10,10
4,30,Yes,20,R2,13,17
4,40,Yes,20,R2,25,15
4,10,Yes,20,R3,4,6
4,20,Yes,20,R3,8,12
4,30,Yes,20,R3,13,17
4,40,Yes,20,R3,35,5
4,10,Yes,20,R4,3,7
4,20,Yes,20,R4,7,13
4,30,Yes,20,R4,18,12
4,40,Yes,20,R4,28,12
4,10,Yes,20,R5,5,5
4,20,Yes,20,R5,9,11
4,30,Yes,20,R5,9,21
4,40,Yes,20,R5,25,15
